id,question_id,option_text,is_correct,media_type,media_content
1,1,"Java, API, Markup",False,,
2,1,"JavaScript, ASP, Markup",False,,
3,1,"Java, ASP, Markup",False,,
4,1,"JavaScript, API, Markup",True,,
5,2,Sir Tim Berners-Lee,False,,
6,2,Roy Fielding,False,,
7,2,Mathias Biilmann,True,,
8,2,None of the above,False,,
9,3,Progressive World App,False,,
10,3,Permanent Web App,False,,
11,3,Progressive Web App,True,,
12,3,None of the above,False,,
13,4,Simple Page App,False,,
14,4,Single Page App,True,,
15,4,Single page Asset,False,,
16,4,None of the above,False,,
17,5,5000,True,,
18,5,8000,False,,
19,5,8080,False,,
20,5,3000,False,,
21,6,,False,code,<applet code=тАЬappletdemo.classтАЭ> </applet>
22,6,,False,code,<applet code = тАЬappletdemoтАЭ > </applet>
23,6,Both 1 and 2,True,,
24,6,None of the above,False,,
25,7,It is used to display alternative text in case the browser does not support Java.,True,,
26,7,It is used to display alternative text in case JavaScript is disabled in the browser.,False,,
27,7,It is used to display the title for the applet.,False,,
28,7,None of the above,False,,
29,8,JavaScript can be used for DOM manipulation.,True,,
30,8,"Being a client side scripting language, it reduces the load on the server.",True,,
31,8,JavaScript cannot be used in the backend.,False,,
32,8,All of the above,False,,
33,9,DOM Manipulation,False,,
34,9,Asynchronous Processing,False,,
35,9,Event Loop,False,,
36,9,All of the above,True,,
37,10,It is a special program that can be run by a browser's java virtual machine.,True,,
38,10,It is a programming language.,False,,
39,10,Applets are written in java.,True,,
40,10,It can be embedded in HTML documents.,True,,
41,11,Mozilla Firefox,True,,
42,11,Google Chrome,False,,
43,11,Internet Explorer,False,,
44,11,Safari,False,,
45,12,JavaScript always requires a browser for its execution.,False,,
46,12,JavaScript cannot be invoked using command line.,False,,
47,12,JavaScript always requires a document context in order to be executed.,False,,
48,12,All of the above,True,,
49,13,5,False,,
50,13,undefined,False,,
51,13,,False,,
52,13,Reference Error,True,,
53,14,AJAX is an acronym for Asynchronous JavaScript and XML.,True,,
54,14,It is a technology used to send request to the server without reloading the page via JavaScript.,True,,
55,14,Only XML data can be transported using AJAX.,False,,
56,14,All of the above,False,,
57,15,undefined,True,,
58,15,,False,,
59,15,0,False,,
60,15,It will throw a syntax error.,False,,
61,16,It will throw a TypeError.,True,,
62,16,15,False,,
63,16,14,False,,
64,16,undefined,False,,
65,17,SyntaxError,False,,
66,17,Red,False,,
67,17,Yellow,True,,
68,17,Undefined,False,,
69,18,,True,code,"const sum = (x, y) => {return x+y}"
70,18,,True,code,"const sum = (x, y) => x+y"
71,18,,True,code,const sqr = x => {return x*x}
72,18,,True,code,const sqr = x => x*x
73,19,red,True,,
74,19,black,False,,
75,19,yellow,False,,
76,19,None of the above,False,,
77,20,black,False,,
78,20,yellow,True,,
79,20,green,False,,
80,20,red,False,,
81,21,UTF-8,False,,
82,21,UTF-16,True,,
83,21,UTF-32,False,,
84,21,ASCII,False,,
85,22,5,True,,
86,22,undefined,False,,
87,22,,False,,
88,22,Reference Error,False,,
89,23,==,False,,
90,23,**,False,,
91,23,===,True,,
92,23,None of the above,False,,
93,24,var,False,,
94,24,let,True,,
95,24,const,True,,
96,24,All of the above,False,,
97,25,It is a JavaScript standard.,True,,
98,25,It is a markup language.,False,,
99,25,It was designed to ensure the inter-portability of webpages across the browsers.,True,,
100,25,None of the above,False,,
101,26,const,False,,
102,26,int,True,,
103,26,while,False,,
104,26,else,False,,
105,27,,False,,
106,27,5,False,,
107,27,True,True,,
108,27,тАЬIITMтАЭ,False,,
109,28,String,False,,
110,28,Number,False,,
111,28,LongInt,True,,
112,28,Boolean,False,,
113,29,def,True,,
114,29,let,False,,
115,29,const,False,,
116,29,yield,False,,
117,30,These are not objects.,True,,
118,30,Int is a primitive datatype.,False,,
119,30,Number is a primitive datatype.,True,,
120,30,undefined and null are primitive data types.,True,,
121,31,{},True,,
122,31,,False,,
123,31,undefined,False,,
124,31,,False,,
125,32,{},False,,
126,32,,False,,
127,32,undefined,True,,
128,32,,False,,
129,33,It will throw a syntax error.,True,,
130,33,undefined,False,,
131,33,,False,,
132,33,0,False,,
133,34,It will throw a TypeError.,False,,
134,34,15,True,,
135,34,14,False,,
136,34,undefined,False,,
137,35,red,False,,
138,35,green,True,,
139,35,undefined,False,,
140,35,SyntaxError,False,,
141,36,ReactJS,False,,
142,36,Flask,True,,
143,36,Bootstrap,False,,
144,36,VueJS,False,,
145,37,Flask,False,,
146,37,Django,False,,
147,37,VueJS,True,,
148,37,Express,False,,
149,38,It can manipulate the DOM.,True,,
150,38,JavaScript is a programming language.,True,,
151,38,It cannot manipulate the DOM.,False,,
152,38,None of the above,False,,
153,39,Asynchronous Java and XML,False,,
154,39,Asynchronous JavaScript and XML,True,,
155,39,Auto JavaScript and XML,False,,
156,39,None of the above,False,,
157,40,It is a study of algorithms that improve through the use of data.,False,,
158,40,It is a sub field of AI that extracts patterns out of raw data.,False,,
159,40,It allows computers to learn from experience without being explicitly programmed or human intervention.,False,,
160,40,It is used for tasks where programming/human labour fails.,False,,
161,40,All of these,True,,
162,41,Weather prediction,False,,
163,41,Face tagging,False,,
164,41,Password verification,True,,
165,41,Spam detection,False,,
166,41,Recommendation system,False,,
167,41,Social media marketing,False,,
168,42,Speech recognition,False,,
169,42,Image recognition,False,,
170,42,Object detection,False,,
171,42,Array sorting,True,,
172,43,We do not know the exact rules transforming the input to output.,True,,
173,43,There are clearly defined rules transforming the input to output.,False,,
174,43,We are unable to express the exact rules transforming the input to output.,True,,
175,44,The price of a house based on its area and distance from metro.,True,,
176,44,Whether or not a house is closer than 5 KMs to metro based on its price and area.,False,,
177,45,Continuous,True,,
178,45,Discrete,False,,
179,45,of any type,False,,
180,45,Categorical,False,,
181,46,Dimensionality Reduction,False,,
182,46,Classification,True,,
183,46,Density Estimation,False,,
184,46,Regression,True,,
185,47,Probabilistic Model,False,,
186,47,Predictive Model,True,,
187,48,$$f(X) = W^\top X + b$$,True,,
188,48,$$f(X) = \mathrm{Sign}(W^\top X + b)$$,False,,
189,49,True,True,,
190,49,False,False,,
191,50,Curve fitting,True,,
192,50,Data exploration,False,,
193,50,Data cleaning,False,,
194,50,Dimensionality reduction,False,,
195,51,Probabilistic Models,False,,
196,51,Predictive Models,True,,
197,52,$$\frac{1}{n} \sum_{i=1}^{n} \left( f(X^i) - Y^i \right)^2$$,False,,
198,52,$$\frac{1}{n} \sum \mathbb{1}(f(X_i) \neq Y_i)$$,True,,
199,53,Training data,False,,
200,53,Test data,True,,
201,53,Validation data,False,,
202,54,Training data,False,,
203,54,Test data,False,,
204,54,Validation data,True,,
205,55,Curve Fitting,False,,
206,55,Understanding Data,True,,
207,55,Classification,False,,
208,55,Predictive Learning,False,,
209,56,$$d < d'$$,False,,
210,56,$$d > d'$$,True,,
211,56,$$d = d'$$,False,,
212,56,Any relation holds good,False,,
213,57,$$d < d'$$,False,,
214,57,$$d > d'$$,True,,
215,57,$$d = d'$$,False,,
216,57,Any relation holds good,False,,
217,58,$$\frac{1}{n} \sum ||g(X_i) - f(X_i)||^2$$,False,,
218,58,$$\frac{1}{n} \sum ||g(f(X_i)) - X_i||^2$$,True,,
219,58,$$\frac{1}{n} \sum ||f(g(X_i)) - X_i||^2$$,False,,
220,59,Reducing dimensionality,True,,
221,59,Grouping similar data,True,,
222,59,Density Estimation,True,,
223,60,"$$\{X_1, X_2, \dots, X_n\}$$",True,,
224,60,"$$\{(X_1, Y_1), (X_2, Y_2), \dots, (X_n, Y_n)\}$$",False,,
225,60,"$$\{(X_1, y_1), (X_2, y_2), \dots, (X_n, y_n)\}$$",False,,
226,61,Dimensionality reduction,False,,
227,61,Regression,False,,
228,61,Classification,False,,
229,61,Density estimation,True,,
230,62,$$\frac{1}{n} \sum \log(P(X_i))$$,False,,
231,62,$$\frac{1}{n} \sum -\log(P(X_i))$$,True,,
232,62,$$\frac{1}{n} \sum \log(-P(X_i))$$,False,,
233,62,$$\frac{1}{n} \sum \left(1 - \log(-P(X_i))\right)$$,False,,
234,63,Mean square error,False,,
235,63,Log-likelihood,False,,
236,63,Negative log-likelihood,True,,
237,63,Entropy,False,,
238,64,A model is a mathematical representation of reality.,False,,
239,64,A model is an exact representation of a system.,False,,
240,64,A model uses no assumptions.,False,,
241,64,only 1,True,,
242,64,only 2,False,,
243,65,Predicting the stock price of a company on a given day based on revenue growth and profit after tax.,True,,
244,65,Predicting the country that a person belongs to based on his physical features.,False,,
245,65,Predicting the animal present in a given image.,False,,
246,65,Predicting the topic of a given Wikipedia article.,False,,
247,66,The need to check for a long list of possible patterns that may be present.,False,,
248,66,Difficulty in maintaining the program containing the complex hard-coded rules.,False,,
249,66,The need to keep writing new rules as the spammers become innovative.,False,,
250,66,All of these.,True,,
251,67,are strictly integers.,False,,
252,67,"always lie in the range $$[0, 1]$$.",False,,
253,67,are any real value.,True,,
254,67,are any imaginary value.,False,,
255,68,Find the gender of a person by analyzing writing style.,True,,
256,68,"Predict the price of a car based on engine power, mileage etc.",False,,
257,68,Predict whether there will be abnormally heavy rainfall tomorrow or not based on previous data.,True,,
258,68,Predict the number of street accidents that will happen this month.,False,,
259,69,Predict the height of a person based on his weight.,True,,
260,69,Predict the country a person belongs to based on his linguistic features.,False,,
261,69,Predict whether the price of gold will increase tomorrow or not.,False,,
262,69,Predict whether a movie is comedy or tragedy based on its reviews.,False,,
263,70,Grouping tweets based on topic similarity,True,,
264,70,Making clusters of cells having similar appearance under microscope.,True,,
265,70,Checking whether an email is spam or not.,False,,
266,70,Identify the gender of online customers based on buying behaviour.,False,,
267,71,$$\mathbb{1}(\text{2 is even}) = 1$$,False,,
268,71,$$\mathbb{1}(10 \pmod 3 = 0) = 0$$,False,,
269,71,$$\mathbb{1}(0.5 \notin \mathbb{R}) = 0$$,False,,
270,71,"$$\mathbb{1}(2 \in \{2,3,4\}) = 0$$",True,,
271,72,$$f: \mathbb{R}^d \to \mathbb{R}$$,False,,
272,72,"$$f: \mathbb{R}^d \to \{+1, -1\}$$",True,,
273,72,$$f: \mathbb{R}^d \to \mathbb{R}^{d'}$$,False,,
274,73,$$f: \mathbb{R}^d \to \mathbb{R}^{d'} \text{ where } d' < d \text{ AND } g: \mathbb{R}^{d'} \to \mathbb{R}^d \text{ where } d' < d$$,True,,
275,73,$$f: \mathbb{R}^d \to \mathbb{R}^{d'} \text{ where } d' > d$$,False,,
276,73,$$g: \mathbb{R}^{d'} \to \mathbb{R}^d \text{ where } d' > d$$,False,,
277,74,Both (1) and (2) are suited for regression.,False,,
278,74,Both (1) and (2) are suited for classification.,False,,
279,74,,True,code,Problem (1) is better suited for classification while (2) is better suited for regression.юААnan
280,74,,False,code,Problem (2) is better suited for classification while (1) is better suited for regression.юААnan
281,77,let,False,,
282,77,var,False,,
283,77,const,False,,
284,77,All of the above,True,,
285,78,JavaScript is a statically typed language.,False,,
286,78,JavaScript is a dynamically typed language.,True,,
287,78,JavaScript is a weakly typed language.,True,,
288,78,JavaScript is a strongly typed language.,False,,
289,79,It is a forgiving language like HTML.,True,,
290,79,It inserts a semicolon after each statement automatically.,True,,
291,79,Blocks and functions both use { } for body contents.,True,,
292,79,Blocks use { } but functions use indentation for body contents.,False,,
293,80,undefined,False,,
294,80,Rohit,False,,
295,80,Mohit,True,,
296,80,,False,,
297,81,It will throw a TypeError.,False,,
298,81,Rohit,False,,
299,81,Mohit,True,,
300,81,undefined,False,,
301,82,undefined,False,,
302,82,Rohit,True,,
303,82,Mohit,False,,
304,82,,False,,
305,83,Rohit,True,,
306,83,Mohit,False,,
307,83,undefined,False,,
308,83,Syntax Error,False,,
309,84,"'hello from setTimeOut one'
'hello for main one'
'hello from setTimeOut two'
'hello from main two'",False,,
310,84,"'hello for main one'
'hello from setTimeOut one'
'hello from main two'
'hello from setTimeOut two'",False,,
311,84,"'hello for main one'
'hello from main two'
'hello from setTimeOut two'
'hello from setTimeOut one'",False,,
312,84,"'hello for main one'
'hello from main two'
'hello from setTimeOut one'
'hello from setTimeOut two'",True,,
313,85,red,False,,
314,85,black,False,,
315,85,yellow,True,,
316,85,None of the above,False,,
317,86,r,False,,
318,86,a,False,,
319,86,n,True,,
320,86,o,False,,
321,87,Text,True,,
322,87,Speech,True,,
323,87,Vision,True,,
324,88,"(1) - (d), (2) - (b), (3) - (c), (4) - (a)",False,,
325,88,"(1) - (d), (2) - (a), (3) - (c), (4) - (b)",True,,
326,89,Name of the customer,False,,
327,89,Age of the customer,True,,
328,89,Gender of the customer,True,,
329,89,Products that the customer has purchased in the past,True,,
330,89,Profiles of customers who have a similar purchase behaviour,True,,
331,89,The customer's PAN number,False,,
332,90,Films,True,,
333,90,None of the above,False,,
334,91,Yes,False,,
335,91,No,True,,
336,92,"Machine learning is data-driven. The mere presence of data is not enough, what we do with the data matters. Machine learning is the science of learning from data. In the previous problem, no learning is involved.",True,,
337,92,The claim is completely correct. Any dataset can inherently be learned from.,False,,
338,93,Supervised learning,True,,
339,93,Regression,False,,
340,93,Unsupervised learning,True,,
341,93,Clustering,False,,
342,93,Sequential learning,True,,
343,93,Online learning,False,,
344,94,"Given the image of a chest X-Ray, determine the presence or absence of a tumor.",True,,
345,94,"Given a customer's financial background, determine if the customer can be given a loan or not.",True,,
346,94,"Given the history of rainfall in a given region, predict the amount of rainfall for a given duration",False,,
347,94,"Given a sound clip, determine the number of musical instruments that are present in it.",False,,
348,95,Regression,False,,
349,95,Binary classification (exactly 2 categories),False,,
350,95,,True,code,Multi-class classification (more than 2 categories)юААnan
351,95,This is not a supervised learning problem,False,,
352,96,"Scenario-1: supervised learning
Scenario-2: unsupervised learning",True,,
353,96,"Scenario-1: unsupervised learning
Scenario-2: supervised learning",False,,
354,97,True,False,,
355,97,False,True,,
356,98,"$$n=4, d=5$$",False,,
357,98,"$$n=5, d=4$$",True,,
358,98,$$n=d=4$$,False,,
359,98,$$n=d=5$$,False,,
360,99,$$ \begin{bmatrix} 0 \\ 0 \\ 0 \end{bmatrix} $$,False,,
361,99,$$ \begin{bmatrix} 1 \\ 1 \\ 1 \end{bmatrix} $$,False,,
362,99,$$ \begin{bmatrix} -2 \\ -4 \\ 2 \end{bmatrix} $$,True,,
363,99,$$ \begin{bmatrix} 1 \\ 2 \\ -1 \end{bmatrix} $$,True,,
364,101,0,False,,
365,101,1,False,,
366,101,2,True,,
367,101,infinite,False,,
368,102,$$ x^T w $$,False,,
369,102,$$ (x^T w)w $$,False,,
370,102,$$ \left( \frac{x^T w}{||w||^2} \right) w $$,True,,
371,103,"$$L_1$$, as it gives a better compression ratio",False,,
372,103,"$$L_2$$, as it gives a better compression ratio",False,,
373,103,"$$L_1$$, as it gives a smaller reconstruction error",True,,
374,103,"$$L_2$$, as it gives a smaller reconstruction error",False,,
375,104,$$ \frac{1}{n} \sum_{i=1}^{n} ||x_i - (x_i^T w)w||^2 $$,True,,
376,104,$$ \frac{1}{n} \sum_{i=1}^{n} [x_i - (x_i^T w)w]^T [x_i - (x_i^T w)w] $$,True,,
377,104,$$ \frac{1}{n} \sum_{i=1}^{n} [x_i^T x_i - (x_i^T w)^2] $$,True,,
378,104,$$ \frac{1}{n} \sum_{i=1}^{n} (x_i^T w)^2 $$,False,,
379,104,$$ \frac{1}{n} \sum_{i=1}^{n} ||x_i||^2 $$,False,,
380,105,True,True,,
381,105,False,False,,
382,106,"$$ \max_{w, ||w||=1} \frac{1}{n} \sum_{i=1}^{n} (x_i^T w)^2 $$",True,,
383,106,"$$ \max_{w, ||w||=1} w^T \left[ \frac{1}{n} \sum_{i=1}^{n} x_i x_i^T \right] w $$",True,,
384,106,"$$ \min_{w, ||w||=1} \frac{1}{n} \sum_{i=1}^{n} (x_i^T w)^2 $$",False,,
385,106,"$$ \max_{w, ||w||=1} \frac{1}{n} \sum_{i=1}^{n} -(x_i^T w)^2 $$",False,,
386,107,$$ n \times n $$,False,,
387,107,$$ d \times d $$,True,,
388,107,$$ n \times d $$,False,,
389,107,$$ d \times n $$,False,,
390,108,It is the eigenvector corresponding to the minimum eigenvalue of the covariance matrix.,False,,
391,108,"It could be any one of the eigenvectors of the covariance matrix. That is, every eigenvector is a solution of the optimization problem.",False,,
392,108,It is the eigenvector corresponding to the maximum eigenvalue of the covariance matrix.,True,,
393,109,Yes,True,,
394,109,No,False,,
395,110,$$ (x^T w)w $$,False,,
396,110,$$ x - w $$,False,,
397,110,$$ x - x^T w $$,False,,
398,110,$$ x - (x^T w)w $$,True,,
399,111,Only S1 is true,True,,
400,111,Only S2 is true,False,,
401,111,Both S1 and S2 are true,False,,
402,111,Both S1 and S2 are false,False,,
403,112,Yes,True,,
404,112,No,False,,
405,114,The vectors in $$B$$ are linearly independent,True,,
406,114,The vectors in $$B$$ span $$\mathbb{R}^d$$,True,,
407,114,$$B$$ is a basis for $$\mathbb{R}^d$$,True,,
408,114,$$w_i^T w_j = 0$$ for $$i \neq j$$,True,,
409,114,$$w_i^T w_i = 1$$ for $$1 \leq i \leq d$$,True,,
410,116,The dataset is a subset of $$\mathbb{R}^4$$,False,,
411,116,The dataset is a subset of a 4-dimensional linear subspace of $$\mathbb{R}^{1000}$$,False,,
412,116,The dataset is a subset of a 4-dimensional linear subspace of $$\mathbb{R}^{10}$$,True,,
413,117,It is the eigenvector corresponding to the $$k^{\text{th}}$$ smallest eigenvalue of the covariance matrix.,False,,
414,117,It is the eigenvector corresponding to the $$k^{\text{th}}$$ largest eigenvalue of the covariance matrix.,True,,
415,118,$$ 1 $$,False,,
416,118,$$ 0 $$,False,,
417,118,$$ \lambda_k $$,True,,
418,118,$$ \lambda_k^2 $$,False,,
419,119,Only S1 is true,False,,
420,119,Only S2 is true,False,,
421,119,Both S1 and S2 are true,True,,
422,119,Both S1 and S2 are false,False,,
423,121,"$$L_1$$, as it gives a better compression ratio",False,,
424,121,"$$L_2$$, as it gives a better compression ratio",False,,
425,121,"$$L_1$$, as the variance of the dataset is higher along this direction",True,,
426,121,"$$L_2$$, as the variance of the dataset is higher along this direction",False,,
427,121,"$$L_1$$, as the variance of the dataset is lower along this direction",False,,
428,121,"$$L_2$$, as the variance of the dataset is lower along this direction",False,,
429,122,4 KB,False,,
430,122,4 MB,False,,
431,122,40 MB,True,,
432,122,4 GB,False,,
433,124,$$ \begin{bmatrix} 3 \\ 4 \end{bmatrix} $$,False,,
434,124,$$ \begin{bmatrix} 1/15 \\ 4/15 \end{bmatrix} $$,False,,
435,124,$$ \begin{bmatrix} 3/5 \\ 4/5 \end{bmatrix} $$,True,,
436,124,$$ \begin{bmatrix} 1 \\ 1 \end{bmatrix} $$,False,,
437,125,"$$ \{0, 5, 10, 1/3\} $$",True,,
438,125,"$$ \{0, 1, 2, 1/3\} $$",False,,
439,125,"$$ \{0, 5, 10, 3\} $$",False,,
440,125,"$$ \{0, 1, 10, 1/3\} $$",False,,
441,126,$$ \vec{OP} $$,False,,
442,126,$$ \vec{OQ} $$,False,,
443,126,$$ \vec{QP} $$,True,,
444,127,Yes,False,,
445,127,No,True,,
446,128,$$ |\vec{QP}| < |\vec{Q'P}| $$,False,,
447,128,$$ |\vec{Q'P}| < |\vec{QP}| $$,True,,
448,128,$$ |\vec{QQ'}| = 0 $$,False,,
449,128,$$ |\vec{QQ'}| > 0 $$,True,,
450,129,True,False,,
451,129,False,True,,
452,130,The dataset lies in a $$d$$-dimensional subspace of $$\mathbb{R}^n$$,False,,
453,130,The dataset lies in a $$k$$-dimensional subspace of $$\mathbb{R}^d$$,True,,
454,130,The dataset lies in a $$d$$-dimensional subspace of $$\mathbb{R}^k$$,False,,
455,130,The dataset lies in a $$k$$-dimensional subspace of $$\mathbb{R}^n$$,False,,
456,131,$$w_1$$,False,,
457,131,$$0$$,True,,
458,132,$$ \frac{1}{n} X_1^T X_1 $$,True,,
459,132,$$ \frac{1}{n} X_2^T X_2 $$,False,,
460,132,$$ \frac{1}{n} X_1 X_1^T $$,False,,
461,132,$$ \frac{1}{n} X_2 X_2^T $$,True,,
462,134,$$R_1: w^T x > 0$$,True,,
463,134,$$R_2: w^T x > 0$$,False,,
464,134,$$R_1: w^T x < 0$$,False,,
465,134,$$R_2: w^T x < 0$$,True,,
466,134,$$L: w^T x = 0$$,True,,
467,135,int,False,,
468,135,float,True,,
469,135,str,False,,
470,135,bool,False,,
471,136,str,False,,
472,136,bool,True,,
473,136,True,False,,
474,136,False,False,,
475,137,,False,code,(10^3) + (9^3) == (12^3) + (1^3) == 1729
476,137,,False,code,(10 ** 3) + (9 ** 3) = (12 ** 3) + (1 ** 3) = 1729
477,137,,False,code,(10 power 3) + (9 power 3) == (12 power 3) + (1 power 3) == 1729
478,137,,True,code,(10 ** 3) + (9 ** 3) == (12 ** 3) + (1 ** 3) == 1729
479,138,It is True if and only if both E_1 and E_2 have the same value.,False,,
480,138,It is False if and only if both E_1 and E_2 have the same value.,False,,
481,138,It is always True.,True,,
482,138,It is always False.,False,,
483,139,True,False,,
484,139,False,True,,
485,139,Cannot be determined,False,,
486,142,,True,code,name1 = input()юААname2 = input()юААprint(name1 < name2)
487,142,,False,code,name1 = input()юААname2 = input()юААprint(name1 > name2)
